Plot_ID,Mean,Mode
18BYD20001,0.808,0.865
18BYD20002,0.803,0.864
18BYD20003,0.791,0.856
18BYD20004,0.834,0.879
18BYD20005,0.838,0.898
18BYD20006,0.846,0.902
18BYD20007,0.839,0.881
18BYD20008,0.808,0.87
18BYD20009,0.827,0.889
18BYD20010,0.812,0.862
18BYD20011,0.832,0.881
18BYD20012,0.808,0.865
18BYD20013,0.79,0.852
18BYD20014,0.822,0.887
18BYD20015,0.827,0.905
18BYD20016,0.846,0.882
18BYD20017,0.819,0.899
18BYD20018,0.813,0.888
18BYD20019,0.822,0.88
18BYD20020,0.863,0.898
18BYD20021,0.868,0.904
18BYD20022,0.846,0.891
18BYD20023,0.862,0.892
18BYD20024,0.858,0.908
18BYD20025,0.803,0.892
18BYD20026,0.859,0.897
18BYD20027,0.86,0.906
18BYD20028,0.864,0.907
18BYD20029,0.841,0.898
18BYD20030,0.816,0.881
18BYD20031,0.856,0.9
18BYD20032,0.864,0.886
18BYD20033,0.851,0.896
18BYD20034,0.861,0.893
18BYD20035,0.878,0.897
18BYD20036,0.842,0.893
18BYD20037,0.876,0.905
18BYD20038,0.877,0.896
18BYD20039,0.863,0.897
18BYD20040,0.844,0.883
18BYD20041,0.883,0.907
18BYD20042,0.872,0.912
18BYD20043,0.866,0.901
18BYD20044,0.856,0.899
18BYD20045,0.85,0.884
18BYD20046,0.89,0.916
18BYD20047,0.867,0.902
18BYD20048,0.842,0.907
18BYD20049,0.864,0.913
18BYD20050,0.878,0.911
18BYD20051,0.834,0.89
18BYD20052,0.873,0.902
18BYD20053,0.865,0.913
18BYD20054,0.873,0.898
18BYD20055,0.911,0.921
18BYD20056,0.873,0.907
18BYD20057,0.88,0.906
18BYD20058,0.878,0.91
18BYD20059,0.893,0.916
18BYD20060,0.893,0.907
18BYD20061,0.889,0.915
18BYD20062,0.855,0.906
18BYD20063,0.881,0.903
18BYD20064,0.887,0.909
18BYD20065,0.88,0.917
18BYD20066,0.889,0.906
18BYD20067,0.888,0.912
18BYD20068,0.901,0.922
18BYD20069,0.892,0.91
18BYD20070,0.897,0.918
18BYD20071,0.878,0.902
18BYD20072,0.904,0.922
18BYD20073,0.888,0.91
18BYD20074,0.89,0.913
18BYD20075,0.878,0.898
18BYD20076,0.861,0.902
18BYD20077,0.885,0.907
18BYD20078,0.883,0.908
18BYD20079,0.893,0.919
18BYD20080,0.906,0.924
18BYD20081,0.901,0.921
18BYD20082,0.893,0.92
18BYD20083,0.865,0.912
18BYD20084,0.861,0.905
18BYD20085,0.871,0.896
18BYD20086,0.879,0.903
18BYD20087,0.855,0.892
18BYD20088,0.867,0.886
18BYD20089,0.885,0.913
18BYD20090,0.885,0.915
18BYD20091,0.894,0.923
18BYD20092,0.907,0.92
18BYD20093,0.877,0.902
18BYD20094,0.867,0.907
18BYD20095,0.887,0.914
18BYD20096,0.865,0.895
18BYD20097,0.853,0.895
18BYD20098,0.846,0.892
18BYD20099,0.863,0.884
18BYD20100,0.888,0.911
18BYD20101,0.836,0.887
18BYD20102,0.812,0.889
18BYD20103,0.818,0.876
18BYD20104,0.875,0.914
18BYD20105,0.878,0.905
18BYD20106,0.877,0.907
18BYD20107,0.901,0.917
18BYD20108,0.904,0.913
18BYD20109,0.87,0.905
18BYD20110,0.878,0.911
18BYD20111,0.808,0.861
18BYD20112,0.822,0.888
18BYD20113,0.821,0.881
18BYD20114,0.797,0.877
18BYD20115,0.807,0.862
18BYD20116,0.826,0.896
18BYD20117,0.843,0.891
18BYD20118,0.87,0.898
18BYD20119,0.838,0.898
18BYD20120,0.822,0.861
18BYD20121,0.834,0.891
18BYD20122,0.88,0.898
18BYD20123,0.833,0.889
18BYD20124,0.851,0.889
18BYD20125,0.85,0.899
18BYD20126,0.884,0.917
18BYD20127,0.889,0.909
18BYD20128,0.87,0.899
18BYD20129,0.851,0.894
18BYD20130,0.844,0.897
18BYD20131,0.847,0.895
18BYD20132,0.866,0.899
18BYD20133,0.829,0.869
18BYD20134,0.853,0.887
18BYD20135,0.846,0.898
18BYD20136,0.842,0.877
18BYD20137,0.836,0.886
18BYD20138,0.808,0.892
18BYD20139,0.843,0.872
18BYD20140,0.874,0.903
18BYD20141,0.831,0.897
18BYD20142,0.843,0.863
18BYD20143,0.856,0.9
18BYD20144,0.888,0.91
18BYD20145,0.843,0.892
18BYD20146,0.871,0.907
18BYD20147,0.846,0.883
18BYD20148,0.814,0.873
18BYD20149,0.831,0.88
18BYD20150,0.834,0.885
18BYD20151,0.78,0.842
18BYD20152,0.783,0.847
18BYD20153,0.831,0.884
18BYD20154,0.849,0.89
18BYD20155,0.826,0.889
18BYD20156,0.777,0.868
18BYD20157,0.83,0.878
18BYD20158,0.863,0.885
18BYD20159,0.803,0.879
18BYD20160,0.847,0.882
18BYD20161,0.807,0.864
18BYD20162,0.869,0.889
18BYD20163,0.848,0.879
18BYD20164,0.813,0.859
18BYD20165,0.828,0.876
18BYD20166,0.84,0.883
18BYD20167,0.85,0.873
18BYD20168,0.825,0.878
18BYD20169,0.77,0.865
18BYD20170,0.805,0.877
18BYD20171,0.802,0.875
18BYD20172,0.839,0.883
18BYD20173,0.824,0.888
18BYD20174,0.787,0.88
18BYD20175,0.808,0.872
18BYD20176,0.806,0.868
18BYD20177,0.773,0.862
18BYD20178,0.775,0.84
18BYD20179,0.795,0.862
18BYD20180,0.824,0.859
18BYD20181,0.82,0.882
18BYD20182,0.865,0.9
18BYD20183,0.875,0.913
18BYD20184,0.883,0.906
18BYD20185,0.908,0.931
18BYD20186,0.895,0.916
18BYD20187,0.9,0.912
18BYD20188,0.872,0.902
18BYD20189,0.881,0.915
18BYD20190,0.887,0.907
18BYD20191,0.872,0.908
18BYD20192,0.857,0.899
18BYD20193,0.882,0.917
18BYD20194,0.876,0.899
18BYD20195,0.877,0.906
18BYD20196,0.841,0.902
18BYD20197,0.851,0.9
18BYD20198,0.814,0.887
18BYD20199,0.869,0.902
18BYD20200,0.857,0.901
18BYD20201,0.848,0.896
18BYD20202,0.823,0.87
18BYD20203,0.861,0.908
18BYD20204,0.87,0.904
18BYD20205,0.875,0.908
18BYD20206,0.879,0.914
18BYD20207,0.874,0.92
18BYD20208,0.871,0.901
18BYD20209,0.866,0.903
18BYD20210,0.879,0.906
18BYD20211,0.871,0.902
18BYD20212,0.893,0.916
18BYD20213,0.876,0.917
18BYD20214,0.883,0.913
18BYD20215,0.891,0.903
18BYD20216,0.847,0.909
18BYD20217,0.869,0.908
18BYD20218,0.895,0.918
18BYD20219,0.909,0.926
18BYD20220,0.897,0.918
18BYD20221,0.881,0.916
18BYD20222,0.897,0.911
18BYD20223,0.883,0.916
18BYD20224,0.88,0.915
18BYD20225,0.879,0.9
18BYD20226,0.869,0.905
18BYD20227,0.88,0.905
18BYD20228,0.877,0.904
18BYD20229,0.872,0.905
18BYD20230,0.881,0.915
18BYD20231,0.875,0.911
18BYD20232,0.888,0.91
18BYD20233,0.879,0.918
18BYD20234,0.879,0.914
18BYD20235,0.889,0.911
18BYD20236,0.887,0.907
18BYD20237,0.881,0.902
18BYD20238,0.881,0.902
18BYD20239,0.883,0.903
18BYD20240,0.894,0.913
18BYD20241,0.86,0.908
18BYD20242,0.884,0.907
18BYD20243,0.895,0.912
18BYD20244,0.868,0.911
18BYD20245,0.865,0.898
18BYD20246,0.857,0.895
18BYD20247,0.877,0.901
18BYD20248,0.887,0.908
18BYD20249,0.889,0.914
18BYD20250,0.873,0.898
18BYD20251,0.873,0.908
18BYD20252,0.909,0.924
18BYD20253,0.877,0.915
18BYD20254,0.894,0.92
18BYD20255,0.853,0.888
18BYD20256,0.871,0.908
18BYD20257,0.869,0.913
18BYD20258,0.861,0.911
18BYD20259,0.826,0.897
18BYD20260,0.874,0.903
18BYD20261,0.851,0.894
18BYD20262,0.861,0.907
18BYD20263,0.87,0.903
18BYD20264,0.883,0.911
18BYD20265,0.866,0.907
18BYD20266,0.885,0.912
18BYD20267,0.88,0.904
18BYD20268,0.863,0.89
18BYD20269,0.881,0.9
18BYD20270,0.861,0.905
18BYD20271,0.879,0.917
18BYD20272,0.865,0.898
18BYD20273,0.861,0.917
18BYD20274,0.829,0.877
18BYD20275,0.838,0.892
18BYD20276,0.879,0.916
18BYD20277,0.867,0.916
18BYD20278,0.879,0.92
18BYD20279,0.881,0.913
18BYD20280,0.884,0.914
18BYD20281,0.88,0.911
18BYD20282,0.889,0.913
18BYD20283,0.88,0.904
18BYD20284,0.87,0.901
18BYD20285,0.853,0.896
18BYD20286,0.877,0.893
18BYD20287,0.875,0.911
18BYD20288,0.869,0.904
18BYD20289,0.85,0.9
18BYD20290,0.851,0.88
18BYD20291,0.873,0.911
18BYD20292,0.846,0.902
18BYD20293,0.85,0.895
18BYD20294,0.885,0.91
18BYD20295,0.884,0.915
18BYD20296,0.9,0.915
18BYD20297,0.889,0.906
18BYD20298,0.837,0.882
18BYD20299,0.855,0.907
18BYD20300,0.844,0.887
18BYD20301,0.845,0.885
18BYD20302,0.819,0.878
18BYD20303,0.825,0.869
18BYD20304,0.826,0.901
18BYD20305,0.838,0.884
18BYD20306,0.848,0.883
18BYD20307,0.871,0.894
18BYD20308,0.882,0.914
18BYD20309,0.856,0.9
18BYD20310,0.834,0.89
18BYD20311,0.86,0.89
18BYD20312,0.855,0.901
18BYD20313,0.842,0.886
18BYD20314,0.87,0.898
18BYD20315,0.887,0.904
18BYD20316,0.836,0.9
18BYD20317,0.843,0.896
18BYD20318,0.853,0.897
18BYD20319,0.854,0.883
18BYD20320,0.826,0.9
18BYD20321,0.815,0.897
18BYD20322,0.829,0.889
18BYD20323,0.794,0.864
18BYD20324,0.835,0.884
18BYD20325,0.773,0.854
18BYD20326,0.802,0.878
18BYD20327,0.842,0.883
18BYD20328,0.79,0.859
18BYD20329,0.807,0.872
18BYD20330,0.827,0.885
18BYD20331,0.852,0.891
18BYD20332,0.823,0.879
18BYD20333,0.857,0.891
18BYD20334,0.818,0.881
18BYD20335,0.877,0.892
18BYD20336,0.863,0.904
18BYD20337,0.879,0.898
18BYD20338,0.858,0.897
18BYD20339,0.829,0.87
18BYD20340,0.832,0.895
18BYD20341,0.834,0.89
18BYD20342,0.845,0.89
18BYD20343,0.781,0.874
18BYD20344,0.787,0.881
18BYD20345,0.841,0.89
18BYD20346,0.833,0.892
18BYD20347,0.829,0.87
18BYD20348,0.843,0.886
18BYD20349,0.845,0.891
18BYD20350,0.812,0.882
18BYD20351,0.83,0.879
18BYD20352,0.819,0.875
18BYD20353,0.794,0.879
18BYD20354,0.813,0.887
18BYD20355,0.805,0.87
18BYD20356,0.798,0.876
18BYD20357,0.827,0.883
18BYD20358,0.792,0.866
18BYD20359,0.809,0.89
18BYD20360,0.844,0.891
18BYD20361,0.875,0.902
18BYD20362,0.9,0.919
18BYD20363,0.914,0.926
18BYD20364,0.879,0.905
18BYD20365,0.89,0.908
18BYD20366,0.916,0.934
18BYD20367,0.913,0.933
18BYD20368,0.913,0.927
18BYD20369,0.91,0.923
18BYD20370,0.863,0.89
18BYD20371,0.863,0.895
18BYD20372,0.877,0.906
18BYD20373,0.863,0.904
18BYD20374,0.856,0.902
18BYD20375,0.876,0.902
18BYD20376,0.851,0.887
18BYD20377,0.864,0.903
18BYD20378,0.876,0.901
18BYD20379,0.862,0.907
18BYD20380,0.875,0.889
18BYD20381,0.854,0.903
18BYD20382,0.856,0.89
18BYD20383,0.886,0.91
18BYD20384,0.887,0.906
18BYD20385,0.874,0.915
18BYD20386,0.889,0.915
18BYD20387,0.863,0.898
18BYD20388,0.867,0.902
18BYD20389,0.875,0.906
18BYD20390,0.882,0.902
18BYD20391,0.877,0.91
18BYD20392,0.867,0.889
18BYD20393,0.827,0.894
18BYD20394,0.859,0.901
18BYD20395,0.879,0.907
18BYD20396,0.88,0.909
18BYD20397,0.883,0.913
18BYD20398,0.885,0.917
18BYD20399,0.885,0.916
18BYD20400,0.881,0.909
18BYD20401,0.865,0.907
18BYD20402,0.88,0.902
18BYD20403,0.884,0.913
18BYD20404,0.862,0.902
18BYD20405,0.873,0.915
18BYD20406,0.857,0.908
18BYD20407,0.842,0.891
18BYD20408,0.87,0.903
18BYD20409,0.869,0.902
18BYD20410,0.885,0.911
18BYD20411,0.861,0.911
18BYD20412,0.858,0.907
18BYD20413,0.859,0.9
18BYD20414,0.862,0.901
18BYD20415,0.856,0.88
18BYD20416,0.862,0.893
18BYD20417,0.87,0.893
18BYD20418,0.861,0.904
18BYD20419,0.888,0.913
18BYD20420,0.855,0.899
18BYD20421,0.866,0.886
18BYD20422,0.85,0.901
18BYD20423,0.885,0.908
18BYD20424,0.897,0.912
18BYD20425,0.865,0.897
18BYD20426,0.896,0.915
18BYD20427,0.854,0.899
18BYD20428,0.888,0.917
18BYD20429,0.829,0.869
18BYD20430,0.873,0.917
18BYD20431,0.87,0.907
18BYD20432,0.795,0.854
18BYD20433,0.825,0.88
18BYD20434,0.827,0.886
18BYD20435,0.863,0.898
18BYD20436,0.864,0.9
18BYD20437,0.876,0.896
18BYD20438,0.845,0.899
18BYD20439,0.871,0.902
18BYD20440,0.857,0.896
18BYD20441,0.884,0.903
18BYD20442,0.844,0.889
18BYD20443,0.836,0.888
18BYD20444,0.864,0.903
18BYD20445,0.77,0.855
18BYD20446,0.813,0.885
18BYD20447,0.792,0.863
18BYD20448,0.848,0.9
18BYD20449,0.806,0.876
18BYD20450,0.81,0.867
18BYD20451,0.832,0.892
18BYD20452,0.823,0.877
18BYD20453,0.851,0.888
18BYD20454,0.82,0.886
18BYD20455,0.856,0.891
18BYD20456,0.804,0.87
18BYD20457,0.855,0.889
18BYD20458,0.835,0.892
18BYD20459,0.828,0.881
18BYD20460,0.824,0.879
18BYD20461,0.836,0.883
18BYD20462,0.869,0.911
18BYD20463,0.839,0.877
18BYD20464,0.87,0.888
18BYD20465,0.842,0.884
18BYD20466,0.882,0.905
18BYD20467,0.854,0.888
18BYD20468,0.805,0.863
18BYD20469,0.844,0.899
18BYD20470,0.864,0.892
18BYD20471,0.869,0.894
18BYD20472,0.81,0.885
18BYD20473,0.859,0.898
18BYD20474,0.826,0.895
18BYD20475,0.838,0.895
18BYD20476,0.854,0.888
18BYD20477,0.808,0.874
18BYD20478,0.819,0.878
18BYD20479,0.821,0.877
18BYD20480,0.812,0.874
18BYD20481,0.834,0.89
18BYD20482,0.861,0.887
18BYD20483,0.814,0.871
18BYD20484,0.823,0.853
18BYD20485,0.812,0.877
18BYD20486,0.815,0.872
18BYD20487,0.839,0.896
18BYD20488,0.861,0.894
18BYD20489,0.857,0.888
18BYD20490,0.845,0.893
18BYD20491,0.864,0.906
18BYD20492,0.858,0.89
18BYD20493,0.84,0.885
18BYD20494,0.846,0.895
18BYD20495,0.818,0.853
18BYD20496,0.802,0.869
18BYD20497,0.84,0.887
18BYD20498,0.802,0.887
18BYD20499,0.813,0.855
18BYD20500,0.849,0.888
18BYD20501,0.847,0.891
18BYD20502,0.872,0.898
18BYD20503,0.823,0.884
18BYD20504,0.826,0.88
18BYD20505,0.801,0.888
18BYD20506,0.771,0.86
18BYD20507,0.817,0.867
18BYD20508,0.832,0.877
18BYD20509,0.831,0.88
18BYD20510,0.802,0.884
18BYD20511,0.807,0.872
18BYD20512,0.802,0.874
18BYD20513,0.798,0.868
18BYD20514,0.776,0.853
18BYD20515,0.826,0.872
18BYD20516,0.8,0.867
18BYD20517,0.832,0.891
18BYD20518,0.841,0.877
18BYD20519,0.841,0.885
18BYD20520,0.82,0.88
18BYD20521,0.812,0.891
18BYD20522,0.839,0.881
18BYD20523,0.801,0.867
18BYD20524,0.763,0.875
18BYD20525,0.824,0.872
18BYD20526,0.83,0.875
18BYD20527,0.819,0.872
18BYD20528,0.797,0.865
18BYD20529,0.767,0.846
18BYD20530,0.791,0.865
18BYD20531,0.783,0.873
18BYD20532,0.815,0.872
18BYD20533,0.812,0.857
18BYD20534,0.769,0.863
18BYD20535,0.773,0.847
18BYD20536,0.815,0.852
18BYD20537,0.815,0.875
18BYD20538,0.814,0.873
18BYD20539,0.769,0.86
18BYD20540,0.811,0.873
18BYD20541,0.823,0.892
18BYD20542,0.852,0.896
18BYD20543,0.848,0.903
18BYD20544,0.837,0.883
18BYD20545,0.874,0.909
18BYD20546,0.847,0.883
18BYD20547,0.873,0.91
18BYD20548,0.878,0.898
18BYD20549,0.889,0.912
18BYD20550,0.86,0.901
18BYD20551,0.861,0.888
18BYD20552,0.857,0.89
18BYD20553,0.847,0.874
18BYD20554,0.874,0.906
18BYD20555,0.883,0.906
18BYD20556,0.864,0.903
18BYD20557,0.857,0.89
18BYD20558,0.867,0.899
18BYD20559,0.844,0.911
18BYD20560,0.877,0.897
18BYD20561,0.89,0.918
18BYD20562,0.862,0.9
18BYD20563,0.87,0.908
18BYD20564,0.86,0.904
18BYD20565,0.866,0.906
18BYD20566,0.884,0.914
18BYD20567,0.871,0.909
18BYD20568,0.888,0.918
18BYD20569,0.893,0.909
18BYD20570,0.844,0.893
18BYD20571,0.856,0.902
18BYD20572,0.898,0.916
18BYD20573,0.883,0.915
18BYD20574,0.869,0.894
18BYD20575,0.893,0.918
18BYD20576,0.848,0.89
18BYD20577,0.885,0.917
18BYD20578,0.894,0.924
18BYD20579,0.865,0.906
18BYD20580,0.891,0.927
18BYD20581,0.882,0.897
18BYD20582,0.886,0.908
18BYD20583,0.896,0.921
18BYD20584,0.896,0.918
18BYD20585,0.885,0.916
18BYD20586,0.876,0.908
18BYD20587,0.861,0.899
18BYD20588,0.833,0.888
18BYD20589,0.851,0.884
18BYD20590,0.858,0.9
18BYD20591,0.869,0.903
18BYD20592,0.851,0.903
18BYD20593,0.861,0.916
18BYD20594,0.871,0.907
18BYD20595,0.864,0.913
18BYD20596,0.88,0.915
18BYD20597,0.889,0.911
18BYD20598,0.876,0.902
18BYD20599,0.871,0.899
18BYD20600,0.855,0.899
18BYD20601,0.832,0.878
18BYD20602,0.869,0.897
18BYD20603,0.85,0.915
18BYD20604,0.862,0.9
18BYD20605,0.872,0.901
18BYD20606,0.84,0.875
18BYD20607,0.862,0.902
18BYD20608,0.887,0.908
18BYD20609,0.877,0.898
18BYD20610,0.861,0.891
18BYD20611,0.886,0.903
18BYD20612,0.87,0.904
18BYD20613,0.895,0.922
18BYD20614,0.883,0.898
18BYD20615,0.856,0.895
18BYD20616,0.898,0.918
18BYD20617,0.867,0.909
18BYD20618,0.868,0.896
18BYD20619,0.859,0.9
18BYD20620,0.884,0.901
18BYD20621,0.872,0.901
18BYD20622,0.879,0.908
18BYD20623,0.885,0.908
18BYD20624,0.857,0.901
18BYD20625,0.872,0.893
18BYD20626,0.839,0.909
18BYD20627,0.845,0.891
18BYD20628,0.864,0.905
18BYD20629,0.833,0.894
18BYD20630,0.849,0.904
18BYD20631,0.887,0.91
18BYD20632,0.876,0.908
18BYD20633,0.852,0.883
18BYD20634,0.86,0.91
18BYD20635,0.879,0.908
18BYD20636,0.841,0.89
18BYD20637,0.879,0.9
18BYD20638,0.889,0.915
18BYD20639,0.884,0.904
18BYD20640,0.855,0.899
18BYD20641,0.884,0.907
18BYD20642,0.873,0.896
18BYD20643,0.856,0.896
18BYD20644,0.866,0.912
18BYD20645,0.872,0.917
18BYD20646,0.87,0.902
18BYD20647,0.864,0.897
18BYD20648,0.871,0.897
18BYD20649,0.868,0.904
18BYD20650,0.856,0.897
18BYD20651,0.883,0.914
18BYD20652,0.882,0.914
18BYD20653,0.876,0.908
18BYD20654,0.876,0.9
18BYD20655,0.86,0.896
18BYD20656,0.879,0.909
18BYD20657,0.869,0.893
18BYD20658,0.86,0.899
18BYD20659,0.881,0.905
18BYD20660,0.861,0.899
18BYD20661,0.884,0.9
18BYD20662,0.879,0.915
18BYD20663,0.885,0.916
18BYD20664,0.858,0.897
18BYD20665,0.824,0.877
18BYD20666,0.877,0.901
18BYD20667,0.878,0.903
18BYD20668,0.842,0.895
18BYD20669,0.892,0.913
18BYD20670,0.871,0.914
18BYD20671,0.864,0.902
18BYD20672,0.871,0.9
18BYD20673,0.85,0.902
18BYD20674,0.89,0.917
18BYD20675,0.877,0.913
18BYD20676,0.889,0.913
18BYD20677,0.864,0.892
18BYD20678,0.87,0.905
18BYD20679,0.862,0.902
18BYD20680,0.86,0.892
18BYD20681,0.884,0.909
18BYD20682,0.87,0.897
18BYD20683,0.831,0.88
18BYD20684,0.854,0.888
18BYD20685,0.824,0.898
18BYD20686,0.818,0.878
18BYD20687,0.878,0.904
18BYD20688,0.881,0.908
18BYD20689,0.865,0.888
18BYD20690,0.871,0.895
18BYD20691,0.894,0.925
18BYD20692,0.88,0.901
18BYD20693,0.892,0.91
18BYD20694,0.88,0.902
18BYD20695,0.875,0.903
18BYD20696,0.878,0.911
18BYD20697,0.842,0.876
18BYD20698,0.854,0.898
18BYD20699,0.868,0.897
18BYD20700,0.874,0.894
18BYD20701,0.818,0.882
18BYD20702,0.859,0.895
18BYD20703,0.826,0.882
18BYD20704,0.808,0.865
18BYD20705,0.833,0.877
18BYD20706,0.883,0.908
18BYD20707,0.843,0.887
18BYD20708,0.847,0.891
18BYD20709,0.853,0.898
18BYD20710,0.886,0.916
18BYD20711,0.882,0.898
18BYD20712,0.861,0.89
18BYD20713,0.836,0.873
18BYD20714,0.819,0.887
18BYD20715,0.831,0.881
18BYD20716,0.842,0.87
18BYD20717,0.845,0.887
18BYD20718,0.789,0.852
18BYD20719,0.787,0.864
18BYD20720,0.822,0.868
